Ticket_ID,Created_Date,Ticket_Type,Priority,Status,Channel,Product,Category,Assigned_Agent,First_Response_Time_Hours,Resolution_Time_Hours,CSAT_Score
TKT-00001,2024-11-23 03:01:00,General Inquiry,Critical,Closed,Chat,Product D,Performance,Agent_1,1.11,18.05,5.0
TKT-00002,2024-05-20 07:14:00,Bug Report,High,In Progress,Phone,Product C,Integration,Agent_1,7.88,22.74,
TKT-00003,2024-03-12 23:06:00,Account Access,Medium,In Progress,Phone,Product B,UI/UX,Agent_7,19.43,33.02,
TKT-00004,2024-12-12 23:57:00,Feature Request,Critical,Open,Web Portal,Product C,Data Loss,Agent_2,0.95,10.5,
TKT-00005,2024-10-06 02:37:00,General Inquiry,Low,Resolved,Email,Product B,Integration,Agent_1,68.01,133.65,3.0
TKT-00006,2024-08-04 01:01:00,Bug Report,Low,In Progress,Web Portal,Product D,Integration,Agent_3,63.33,151.47,
TKT-00007,2024-02-17 06:14:00,Feature Request,Low,Resolved,Web Portal,Product B,Data Loss,Agent_11,64.86,112.5,2.0
TKT-00008,2024-09-15 19:01:00,Bug Report,Medium,In Progress,Phone,Product E,Performance,Agent_8,19.12,53.18,
TKT-00009,2024-10-14 06:45:00,General Inquiry,Critical,Pending,Email,Product A,Payment,Agent_8,1.46,18.01,
TKT-00010,2024-11-28 22:34:00,Billing Question,Low,Open,Web Portal,Product C,Documentation,Agent_12,62.86,95.26,
TKT-00011,2024-08-02 07:28:00,Billing Question,Medium,Resolved,Phone,Product A,Integration,Agent_7,6.42,82.86,3.0
TKT-00012,2024-10-28 08:51:00,General Inquiry,Medium,Open,Chat,Product B,Authentication,Agent_14,23.46,80.41,
TKT-00013,2024-01-04 05:44:00,Bug Report,Critical,Closed,Email,Product E,Authentication,Agent_11,2.87,14.6,5.0
TKT-00014,2024-08-04 10:17:00,Technical Issue,Low,Open,Phone,Product B,Performance,Agent_12,48.87,55.67,
TKT-00015,2024-03-20 06:48:00,Bug Report,Low,Resolved,Chat,Product D,Integration,Agent_10,52.84,148.46,2.0
TKT-00016,2024-06-21 03:05:00,Feature Request,High,Resolved,Web Portal,Product D,Integration,Agent_12,10.83,31.4,3.0
TKT-00017,2024-07-13 03:22:00,Bug Report,Low,Closed,Web Portal,Product D,Payment,Agent_8,12.12,146.26,4.0
TKT-00018,2024-06-25 19:16:00,General Inquiry,Critical,Closed,Web Portal,Product B,UI/UX,Agent_5,1.99,17.03,4.0
TKT-00019,2024-01-23 23:29:00,Account Access,Medium,In Progress,Chat,Product D,Payment,Agent_10,18.12,78.25,
TKT-00020,2024-10-01 03:59:00,Technical Issue,Critical,Resolved,Chat,Product B,Authentication,Agent_14,2.78,8.15,5.0
TKT-00021,2024-07-12 02:35:00,Bug Report,Low,Open,Web Portal,Product B,Authentication,Agent_10,63.23,127.03,
TKT-00022,2024-05-30 20:39:00,Technical Issue,Medium,Closed,Web Portal,Product E,UI/UX,Agent_6,11.81,32.45,5.0
TKT-00023,2024-07-04 18:12:00,Technical Issue,Critical,Open,Chat,Product C,Authentication,Agent_12,3.46,21.24,
TKT-00024,2024-12-26 02:02:00,Bug Report,Low,Closed,Phone,Product A,Documentation,Agent_11,36.41,131.43,4.0
TKT-00025,2024-12-04 07:49:00,Bug Report,Low,Resolved,Email,Product C,Authentication,Agent_12,19.3,48.64,2.0
TKT-00026,2024-05-28 02:54:00,Billing Question,Low,Closed,Web Portal,Product A,Integration,Agent_11,43.1,101.67,3.0
TKT-00027,2024-04-29 03:24:00,Bug Report,High,Resolved,Chat,Product A,UI/UX,Agent_7,6.96,23.31,2.0
TKT-00028,2024-05-22 14:40:00,Bug Report,High,Closed,Phone,Product B,Authentication,Agent_13,7.17,13.41,2.0
TKT-00029,2024-07-05 05:23:00,Billing Question,High,In Progress,Phone,Product D,Payment,Agent_5,2.43,32.7,
TKT-00030,2024-06-30 06:42:00,Billing Question,Medium,Closed,Phone,Product D,Integration,Agent_2,18.98,70.99,1.0
TKT-00031,2024-05-16 22:59:00,Account Access,Critical,In Progress,Web Portal,Product D,Data Loss,Agent_3,0.66,5.76,
TKT-00032,2024-12-15 20:04:00,Bug Report,Medium,In Progress,Chat,Product C,UI/UX,Agent_3,22.53,42.49,
TKT-00033,2024-11-07 20:10:00,Feature Request,Medium,Open,Email,Product D,Performance,Agent_1,15.58,78.22,
TKT-00034,2024-09-30 23:15:00,Technical Issue,Low,Resolved,Chat,Product E,Payment,Agent_4,30.97,58.15,4.0
TKT-00035,2024-03-24 14:24:00,General Inquiry,Low,Closed,Chat,Product B,Performance,Agent_2,35.51,62.97,2.0
TKT-00036,2024-05-18 20:44:00,Billing Question,Medium,Closed,Phone,Product D,Data Loss,Agent_14,12.02,45.5,4.0
TKT-00037,2024-10-12 07:43:00,General Inquiry,Critical,Pending,Email,Product D,Data Loss,Agent_1,3.58,23.33,
TKT-00038,2024-06-15 01:14:00,Bug Report,High,Closed,Web Portal,Product D,Authentication,Agent_12,10.08,18.18,4.0
TKT-00039,2024-01-17 10:25:00,Feature Request,Medium,Resolved,Web Portal,Product C,Documentation,Agent_4,23.82,94.35,5.0
TKT-00040,2024-05-17 02:13:00,Technical Issue,Medium,Resolved,Phone,Product B,Authentication,Agent_14,10.06,71.39,4.0
TKT-00041,2024-10-17 22:20:00,Bug Report,Critical,Closed,Web Portal,Product E,UI/UX,Agent_1,2.91,8.97,3.0
TKT-00042,2024-04-18 20:31:00,Feature Request,Critical,In Progress,Chat,Product D,Documentation,Agent_4,3.85,4.92,
TKT-00043,2024-07-21 20:29:00,Technical Issue,Medium,Pending,Phone,Product A,Data Loss,Agent_8,22.51,92.1,
TKT-00044,2024-03-14 08:08:00,Feature Request,Low,Resolved,Email,Product C,Documentation,Agent_11,23.81,156.55,4.0
TKT-00045,2024-05-06 23:35:00,Billing Question,Low,Pending,Chat,Product D,Integration,Agent_3,31.75,83.21,
TKT-00046,2024-10-02 08:47:00,Bug Report,Medium,Pending,Email,Product D,Documentation,Agent_11,7.13,62.46,
TKT-00047,2024-10-26 13:57:00,Feature Request,Low,Resolved,Email,Product C,Integration,Agent_4,49.52,64.78,5.0
TKT-00048,2024-10-25 12:23:00,Feature Request,Critical,In Progress,Chat,Product E,Payment,Agent_7,0.6,13.81,
TKT-00049,2024-04-22 04:32:00,Bug Report,High,In Progress,Email,Product A,Performance,Agent_14,6.32,23.27,
TKT-00050,2024-09-09 02:48:00,Technical Issue,Critical,Resolved,Phone,Product A,UI/UX,Agent_11,0.58,22.22,5.0
TKT-00051,2024-01-25 03:09:00,Bug Report,High,Closed,Phone,Product E,Integration,Agent_14,9.97,47.88,5.0
TKT-00052,2024-11-17 05:50:00,Feature Request,Medium,Closed,Chat,Product C,Integration,Agent_13,22.83,67.64,2.0
TKT-00053,2024-12-14 13:38:00,General Inquiry,Medium,Pending,Web Portal,Product D,Data Loss,Agent_9,21.13,60.76,
TKT-00054,2024-02-02 12:24:00,Account Access,High,Closed,Email,Product E,Performance,Agent_4,4.47,36.77,4.0
TKT-00055,2024-11-01 14:33:00,General Inquiry,Low,Pending,Chat,Product C,Data Loss,Agent_2,40.41,127.51,
TKT-00056,2024-05-08 17:55:00,Technical Issue,Medium,Closed,Email,Product C,Performance,Agent_5,23.26,27.22,3.0
TKT-00057,2024-01-06 21:46:00,Feature Request,High,In Progress,Chat,Product C,Documentation,Agent_13,10.33,13.32,
TKT-00058,2024-02-28 21:56:00,Account Access,Low,In Progress,Email,Product C,Documentation,Agent_8,61.3,65.0,
TKT-00059,2024-10-01 08:49:00,Technical Issue,High,In Progress,Web Portal,Product A,Data Loss,Agent_3,7.2,42.82,
TKT-00060,2024-11-24 10:07:00,General Inquiry,Medium,Closed,Chat,Product C,Data Loss,Agent_8,10.26,39.5,2.0
TKT-00061,2024-05-30 13:10:00,Billing Question,Medium,Pending,Phone,Product E,Authentication,Agent_7,7.31,33.66,
TKT-00062,2024-08-20 00:46:00,Bug Report,Critical,Pending,Web Portal,Product D,Documentation,Agent_1,2.6,15.04,
TKT-00063,2024-05-14 16:48:00,Technical Issue,High,In Progress,Phone,Product D,Authentication,Agent_2,6.39,33.3,
TKT-00064,2024-04-01 16:58:00,Technical Issue,Low,In Progress,Web Portal,Product B,Integration,Agent_3,17.74,81.29,
TKT-00065,2024-02-24 20:19:00,Feature Request,Medium,Closed,Phone,Product E,Authentication,Agent_15,14.04,76.5,4.0
TKT-00066,2024-11-23 16:38:00,Account Access,Critical,Closed,Web Portal,Product B,Integration,Agent_3,0.94,12.44,5.0
TKT-00067,2024-04-11 04:23:00,General Inquiry,Critical,Pending,Email,Product E,Integration,Agent_12,3.91,15.0,
TKT-00068,2024-03-23 17:49:00,Technical Issue,Low,Open,Phone,Product C,Performance,Agent_12,67.0,79.28,
TKT-00069,2024-09-28 00:38:00,Bug Report,Medium,Pending,Email,Product B,Documentation,Agent_8,12.79,70.78,
TKT-00070,2024-06-14 15:01:00,Technical Issue,Critical,Closed,Chat,Product C,Integration,Agent_8,3.62,7.27,5.0
TKT-00071,2024-02-27 11:56:00,Technical Issue,Low,Resolved,Email,Product E,Integration,Agent_8,53.6,102.73,3.0
TKT-00072,2024-06-06 07:03:00,Feature Request,Low,Closed,Phone,Product A,Integration,Agent_1,58.96,161.37,3.0
TKT-00073,2024-05-03 18:05:00,Technical Issue,High,Closed,Web Portal,Product A,Authentication,Agent_14,2.62,36.35,2.0
TKT-00074,2024-02-13 23:31:00,Account Access,High,Resolved,Email,Product A,Authentication,Agent_8,10.02,45.85,2.0
TKT-00075,2024-02-05 17:49:00,Feature Request,Medium,Closed,Web Portal,Product A,Payment,Agent_10,6.99,34.31,2.0
TKT-00076,2024-03-05 04:42:00,Billing Question,Critical,Pending,Chat,Product D,Data Loss,Agent_4,2.64,8.08,
